"Mun US Noti MG","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"310010 Abadia dos Dourados",0,0,1,2,2,1,2,4,5,5,10,9,5,11,7,12,3,7,11,6,1,3,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115
"310020 Abaeté",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"310030 Abre Campo",0,0,0,2,0,2,0,0,2,0,1,1,1,6,2,3,4,3,2,2,6,4,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50
"310040 Acaiaca",1,3,5,3,14,23,36,33,43,64,28,20,11,9,16,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323
"310050 Açucena",1,1,0,0,4,0,0,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"310060 Água Boa",0,0,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13
"310070 Água Comprida",0,0,1,4,1,5,9,4,6,7,9,24,20,23,34,16,26,28,17,17,25,10,11,7,4,5,14,3,4,3,7,1,0,5,2,1,0,2,3,2,2,0,362
"310080 Aguanil",1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"310090 Águas Formosas",0,1,0,0,0,0,4,3,0,0,3,1,1,0,1,2,1,0,1,1,3,2,3,1,0,0,2,1,0,0,1,2,1,0,0,2,0,0,0,1,0,0,38
"310100 Águas Vermelhas",0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"310110 Aimorés",0,1,1,2,1,0,0,1,0,0,0,1,3,2,2,2,1,5,4,4,3,5,0,2,1,2,1,1,0,0,0,0,1,0,1,3,0,2,4,2,3,1,62
"310120 Aiuruoca",0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"310130 Alagoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310140 Albertina",0,0,1,0,0,0,0,1,0,0,0,0,5,4,5,3,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"310150 Além Paraíba",0,1,0,3,1,6,3,14,14,17,25,22,46,35,19,13,9,28,15,22,7,4,7,5,3,5,3,1,1,1,0,1,1,1,2,0,1,0,0,1,2,0,339
"310160 Alfenas",2,3,1,9,6,2,10,9,14,14,19,19,19,22,15,14,23,15,8,8,11,2,2,2,3,3,3,0,2,1,0,0,1,1,0,1,0,1,2,21,1,0,289
